qa,context
what is the deadline for applying for the proper adhesive stamp?,"thereof in 2[India], the proper adhesive stamp is affixed thereto and cancelled in manner prescribed by section 12 and such holder has no reason to believe that such stamp was affixed or cancelled otherwise than by the person and at the time required by this Act, such stamp shall, so far as relates to such holder, be deemed to have been duly affixed and cancelled; "
what is the purpose of the proper adhesive stamp?,"thereof in 2[India], the proper adhesive stamp is affixed thereto and cancelled in manner prescribed by section 12 and such holder has no reason to believe that such stamp was affixed or cancelled otherwise than by the person and at the time required by this Act, such stamp shall, so far as relates to such holder, be deemed to have been duly affixed and cancelled; "
who can apply for the proper adhesive stamp?,"thereof in 2[India], the proper adhesive stamp is affixed thereto and cancelled in manner prescribed by section 12 and such holder has no reason to believe that such stamp was affixed or cancelled otherwise than by the person and at the time required by this Act, such stamp shall, so far as relates to such holder, be deemed to have been duly affixed and cancelled; "
what does the proviso not do?,(b) nothing contained in this proviso shall relieve any person from any penalty incurred by him 
what is the new section of the act?,—After section 19 of the said Act the following new section shall be 
what is the difference between the two clauses of section 3?,under clause (bb) of section 3.- Where any instrument has become chargeable in any part of India and thereafter becomes chargeable with higher rate of duty in the Himachal Pradesh under clause (bb) of 
"what was the purpose of the amendments made by act 5 of 1927, s. 5?","1. Subs. by the A.O. 1950, for “collecting Government”. 2. Subs. by Act 43 of 1955, s. 2, for “the States” (w.e.f. 1-4-1956). 3. The word “cheque” omitted by Act 5 of 1927, s. 5. 4. Ins. by Act 5 of 1927, s. 5. "
"what was the purpose of the amendments made by act 43 of 1955, s. 2?","1. Subs. by the A.O. 1950, for “collecting Government”. 2. Subs. by Act 43 of 1955, s. 2, for “the States” (w.e.f. 1-4-1956). 3. The word “cheque” omitted by Act 5 of 1927, s. 5. 4. Ins. by Act 5 of 1927, s. 5. "
what is the duty rate on imported goods?,"(i) notwithstanding anything contained in the said proviso, the amount of duty chargeable on such "
what is the amount of duty already paid on an instrument in india?,"instrument shall be the amount chargeable on it under Schedule- I-A less the amount of duty, if any already paid on it in India, "
what is the amount chargeable on an instrument under schedule-i-a?,"instrument shall be the amount chargeable on it under Schedule- I-A less the amount of duty, if any already paid on it in India, "
what is the purpose of the stamps on the instrument?,"(ii) in addition to the stamps, if any, already affixed thereto, such instrument shall be stamped with "
what is the duty on the stamps?,the stamps necessary for the payment of the amount of duty chargeable on it under clause (i) in the same manner and at the same time and by the same person as though such instrument were an instrument received in India for the first time at the time when it became chargeable with the higher duty. 
what is the difference between the stamps and the instrument?,the stamps necessary for the payment of the amount of duty chargeable on it under clause (i) in the same manner and at the same time and by the same person as though such instrument were an instrument received in India for the first time at the time when it became chargeable with the higher duty. 
how do you pay the duty on the stamps?,the stamps necessary for the payment of the amount of duty chargeable on it under clause (i) in the same manner and at the same time and by the same person as though such instrument were an instrument received in India for the first time at the time when it became chargeable with the higher duty. 
what is the purpose of the stamps?,the stamps necessary for the payment of the amount of duty chargeable on it under clause (i) in the same manner and at the same time and by the same person as though such instrument were an instrument received in India for the first time at the time when it became chargeable with the higher duty. 
what is the current rate of exchange for currency exchange?,chargeable with ad valorem duty in respect of any money expressed in any currency other than that of 1[India] such duty shall be calculated on the value of such money in the currency of 1[India] according to the current rate of exchange on the day of the date of the instrument. 
what is the duty on money expressed in currencies other than india?,chargeable with ad valorem duty in respect of any money expressed in any currency other than that of 1[India] such duty shall be calculated on the value of such money in the currency of 1[India] according to the current rate of exchange on the day of the date of the instrument. 
how is the duty calculated?,chargeable with ad valorem duty in respect of any money expressed in any currency other than that of 1[India] such duty shall be calculated on the value of such money in the currency of 1[India] according to the current rate of exchange on the day of the date of the instrument. 
what is the purpose of the ad valorem duty?,chargeable with ad valorem duty in respect of any money expressed in any currency other than that of 1[India] such duty shall be calculated on the value of such money in the currency of 1[India] according to the current rate of exchange on the day of the date of the instrument. 
what is the authority of the central government to make changes to the law?,"(2) The Central Government may, from time to time, by notification in the Official Gazette, prescribe "
how is ad valorem duty calculated?,"ad valorem duty in respect of any stock or of any marketable or other security, such duty shall be calculated on 2[the market value of such stock or security.] "
what is the definition of ad valorem duty?,"ad valorem duty in respect of any stock or of any marketable or other security, such duty shall be calculated on 2[the market value of such stock or security.] "
what is the market value for calculating the stamp-duty?,"3[Provided that the market value for calculating the stamp-duty shall be, in the case of— "
what is the difference between an option and a security?,"(i) options in any securities, the premium paid by the buyer; "
what is repo on corporate bonds?,"(ii) repo on corporate bonds, interest paid by the borrower; and "
what is a swap?,"(iii) swap, only the first leg of the cash flow.]"
is the statement presumed to be duly stamped?,"statement of current rate of exchange, or average price, as the case may require, and is stamped in accordance with such statement, it shall, so far as regards the subject-matter of such statement, be presumed, until the contrary is proved, to be duly stamped. "
what is the average price?,"statement of current rate of exchange, or average price, as the case may require, and is stamped in accordance with such statement, it shall, so far as regards the subject-matter of such statement, be presumed, until the contrary is proved, to be duly stamped. "
what is the current rate of exchange?,"statement of current rate of exchange, or average price, as the case may require, and is stamped in accordance with such statement, it shall, so far as regards the subject-matter of such statement, be presumed, until the contrary is proved, to be duly stamped. "
is the statement stamped according to the statement?,"statement of current rate of exchange, or average price, as the case may require, and is stamped in accordance with such statement, it shall, so far as regards the subject-matter of such statement, be presumed, until the contrary is proved, to be duly stamped. "
what is the definition of interest?,Where interest is expressly made payable by the terms of an 
what is the difference between a bond and a loan?,"instrument, such instrument shall not be chargeable with duty higher than that with which it would have been chargeable had no mention of interest been made therein. "
what are certain instruments connected with mortgages of marketable securities to be chargeable?,4[23A. Certain instruments connected with mortgages of marketable securities to be chargeable 
what is an example of an instrument that can be used as an agreement?,as agreements. — (1) Where an instrument (not being a promissory note or bill of exchange)—
what is the difference between a loan and a credit card?,"money advanced or to be advanced by way of loan, or for an existing or future debt, or "
what is the difference between an agreement and a memorandum?,it shall be chargeable with duty as if it were an agreement or memorandum of an agreement chargeable with duty under 5[Article No. 5 (c)] of Schedule I. 
what is the definition of an agreement?,it shall be chargeable with duty as if it were an agreement or memorandum of an agreement chargeable with duty under 5[Article No. 5 (c)] of Schedule I. 
what is the difference between a release and discharge of an instrument?,(2) A release or discharge of any such instrument shall only be chargeable with the like duty. ] 
what was the purpose of the amendment to act 43 of 1955?,"1. Subs. by Act 43 of 1955, s. 2, for “the States” (w.e.f. 1-4-1956). 2. Subs. by Act 7 of 2019, s. 16, for “the value of such stock or security according to the average price or the value thereof on the day of the date "
"what was the purpose of the amendment to act 7 of 2019, s. 16?","1. Subs. by Act 43 of 1955, s. 2, for “the States” (w.e.f. 1-4-1956). 2. Subs. by Act 7 of 2019, s. 16, for “the value of such stock or security according to the average price or the value thereof on the day of the date "
"what was the purpose of the amendment to act 43 of 1955, s. 2?","1. Subs. by Act 43 of 1955, s. 2, for “the States” (w.e.f. 1-4-1956). 2. Subs. by Act 7 of 2019, s. 16, for “the value of such stock or security according to the average price or the value thereof on the day of the date "
what is the new date for the instrument?,of the instrument.” (w.e.f. 1-7-2020). [Earlier notified w.e.f. 9-1-2020 followed by 1-4-2020] 
what was the amendment made to by act 1 of 1912?,"3. Ins. by s. 16, ibid. (w.e.f. 1-7-2020). [Earlier notified w.e.f. 9-1-2020 followed by 1-4-2020]4. Ins. by Act 15 of 1904, s. 3.5. Subs. by Act 1 of 1912, s. 3, for “Article No. 5(b)”."
what was the date of the amendment to the constitution?,"3. Ins. by s. 16, ibid. (w.e.f. 1-7-2020). [Earlier notified w.e.f. 9-1-2020 followed by 1-4-2020]4. Ins. by Act 15 of 1904, s. 3.5. Subs. by Act 1 of 1912, s. 3, for “Article No. 5(b)”."
what was the amendment made to by act 15 of 1904?,"3. Ins. by s. 16, ibid. (w.e.f. 1-7-2020). [Earlier notified w.e.f. 9-1-2020 followed by 1-4-2020]4. Ins. by Act 15 of 1904, s. 3.5. Subs. by Act 1 of 1912, s. 3, for “Article No. 5(b)”."
what is the difference between schedule-i and schedule-a?,"figure ‘Schedule-I’ the word, figure and letter “Schedule I-A” shall be substituted. "
what is the difference between ad valorem duty and ad valorem tax?,"Where any property is transferred to any person in consideration, wholly or in part, of any debt due to him, or subject either certainly or contingently to the payment or transfer of any money or stock, whether being or constituting a charge or incumbrance upon the property or not, such debt, money or stock is to be deemed the whole or part, as the case may be, of the consideration in respect whereof the transfer is chargeable with ad valorem duty: "
what is the difference between a mortgage and an incumbrance?,".—In the case of a sale of property subject to a mortgage or other incumbrance, any "
what is the difference between unpaid mortgage money and money charged?,"unpaid mortgage money or money charged, together with the interest (if any) due on the same, shall be deemed to be part of the consideration for the sale: "
what is the definition of unpaid mortgage money?,"unpaid mortgage money or money charged, together with the interest (if any) due on the same, shall be deemed to be part of the consideration for the sale: "
what is the purpose of a mortgage?,"Provided that, where property subject to a mortgage is transferred to the mortgagee, he shall be "
what is the duty payable on the transfer?,entitled to deduct from the duty payable on the transfer the amount of any duty already paid in respect of the mortgage. 
what is the amount of money that a owes b?,"(1) A owes B Rs. 1,000. A sells a property to B, the consideration being Rs. 500 and the release of the "
what is the consideration that a offers for selling a property to b?,"(1) A owes B Rs. 1,000. A sells a property to B, the consideration being Rs. 500 and the release of the "
what is the amount of the previous debt?,"previous debt of Rs. 1,000. Stamp-duty is payable on Rs. 1,500. "
who is the owner of the property?,"(2) A sells a property to B for Rs. 500 which is subject to a mortgage to C for Rs. 1,000 and unpaid "
what is the value of the property?,"(2) A sells a property to B for Rs. 500 which is subject to a mortgage to C for Rs. 1,000 and unpaid "
how much does b pay for the house?,"(3) A mortgages a house of the value of Rs. 10,000 to B for Rs. 5,000. B afterwards buys the house "
what is the value of the house?,"(3) A mortgages a house of the value of Rs. 10,000 to B for Rs. 5,000. B afterwards buys the house "
"how much stamp-duty is payable on rs. 10,000?","from A. Stamp-duty is payable on Rs. 10,000 less the amount of stamp-duty already paid for the mortgage. "
what is the full stop in the proviso to section 24 of the said act?," In the proviso to section 24, of the said Act, for the full stop shall be "
"what is the difference between schedule i, and schedule i-a?","substituted a comma followed by the words “or Schedule I -A, as the case may be. "
"what is the purpose of section 24 of the indian stamp act, 1899?","In Section 24 of the Indian Stamp Act, 1899 (2 of 1899) (herein after "
what is the principal act?,"referred to as the principal Act), for the words “in respect whereof the transfer is chargeable with ad valorem duty” the words “and the transfer is chargeable with ad valorem duty in respect of the consideration or the market value of the property so transferred, whichever is higher,” shall be substituted. "
"what is the replacement for the words ""consideration""?","referred to as the principal Act), for the words “in respect whereof the transfer is chargeable with ad valorem duty” the words “and the transfer is chargeable with ad valorem duty in respect of the consideration or the market value of the property so transferred, whichever is higher,” shall be substituted. "
"what is the replacement for the words ""market value""?","referred to as the principal Act), for the words “in respect whereof the transfer is chargeable with ad valorem duty” the words “and the transfer is chargeable with ad valorem duty in respect of the consideration or the market value of the property so transferred, whichever is higher,” shall be substituted. "
what is the purpose of executing an instrument to secure the payment of an obligation?,Where an instrument is executed to secure the payment of an 
what is the difference between an annuity and a payment in full?,"annuity or other sum payable periodically, or where the consideration for a conveyance is an annuity or other sum payable periodically, the amount secured by such instrument or the consideration for such conveyance, as the case may be, shall, for the purposes of this Act, be deemed to be,— "
what is the difference between a payment in full and a payment in annuity?,"annuity or other sum payable periodically, or where the consideration for a conveyance is an annuity or other sum payable periodically, the amount secured by such instrument or the consideration for such conveyance, as the case may be, shall, for the purposes of this Act, be deemed to be,— "
what is the difference between a payment in full and an annuity?,"annuity or other sum payable periodically, or where the consideration for a conveyance is an annuity or other sum payable periodically, the amount secured by such instrument or the consideration for such conveyance, as the case may be, shall, for the purposes of this Act, be deemed to be,— "
what is the definition of an annuity?,"annuity or other sum payable periodically, or where the consideration for a conveyance is an annuity or other sum payable periodically, the amount secured by such instrument or the consideration for such conveyance, as the case may be, shall, for the purposes of this Act, be deemed to be,— "
what is the difference between a loan and a lease?,(a) where the sum is payable for a definite period so that the total amount to be paid can be 
what is the difference between a life insurance  policy and a life insurance  policy?,(b) where the sum is payable in perpetuity or for an indefinite time not terminable with any life in 
how does the interest rate on a loan calculated?,calculated from the date on which the first payment becomes due; and 
what is the difference between a life insurance  policy and a life insurance  policy?,(c) where the sum is payable for an indefinite time terminable with any life in being at the date of 
what is the maximum amount payable during the twelve-year period?,such instrument or conveyance— the maximum amount which will or may be payable as aforesaid during the period of twelve years calculated from the date on which the first payment becomes due. 
what is the maximum amount payable as aforesaid during the twelve-year period?,such instrument or conveyance— the maximum amount which will or may be payable as aforesaid during the period of twelve years calculated from the date on which the first payment becomes due. 
what is the maximum amount of duty that can be claimed on an instrument?,"subject-matter of any instrument chargeable with ad valorem duty cannot be, or (in the case of an instrument executed before the commencement of this Act) could not have been, ascertained at the date of its execution or first execution, nothing shall be claimable under such instrument more than the highest amount or value for which, if stated in an instrument of the same description, the stamp actually used would, at the date of such execution, have been sufficient: "
what is the purpose of the ad valorem duty law?,"subject-matter of any instrument chargeable with ad valorem duty cannot be, or (in the case of an instrument executed before the commencement of this Act) could not have been, ascertained at the date of its execution or first execution, nothing shall be claimable under such instrument more than the highest amount or value for which, if stated in an instrument of the same description, the stamp actually used would, at the date of such execution, have been sufficient: "
what is the difference between the ad valorem duty and the stamp duty?,"subject-matter of any instrument chargeable with ad valorem duty cannot be, or (in the case of an instrument executed before the commencement of this Act) could not have been, ascertained at the date of its execution or first execution, nothing shall be claimable under such instrument more than the highest amount or value for which, if stated in an instrument of the same description, the stamp actually used would, at the date of such execution, have been sufficient: "
what is the difference between a lease and a purchase agreement?,"1[Provided that, in the case of the lease of a mine in which royalty or a share of the produce is "
what is the difference between a royalty and a share?,"received as the rent or part of the rent, it shall be sufficient to have estimated such royalty or the value of such share, for the purpose of stamp-duty,—"
what is the difference between a rent and a share?,"received as the rent or part of the rent, it shall be sufficient to have estimated such royalty or the value of such share, for the purpose of stamp-duty,—"
what is the purpose of the lease?,"(a) when the lease has been granted by or on behalf of 2[the Government], at such amount or "
what is the value of the property being leased?,"value as the Collector may, having regard to all the circumstances of the case, have estimated as likely to be payable by way of royalty or share to 3[the Government] under the lease, or "
what is the collector's role in determining the value of the property?,"value as the Collector may, having regard to all the circumstances of the case, have estimated as likely to be payable by way of royalty or share to 3[the Government] under the lease, or "
what is the estimated royalty or share amount payable to the government under the lease?,"value as the Collector may, having regard to all the circumstances of the case, have estimated as likely to be payable by way of royalty or share to 3[the Government] under the lease, or "
what is the monthly rent for the property?,"(b) when the lease has been granted by any other person, at twenty thousand rupees a year, "
what is the amount of the royalty or share claimable under the lease?,"and the whole amount of such royalty or share, whatever it may be, shall be claimable under such lease:] "
what is the purpose of the collector's certification?,"41, the amount certified by the Collector shall be deemed to be the stamp actually used at the date of execution."
what is the significance of the stamp used at the date of execution?,"41, the amount certified by the Collector shall be deemed to be the stamp actually used at the date of execution."
what is the purpose of the chargeability clause?,"facts and circumstances affecting the chargeability of any instrument with duty, or the amount of the duty with which it its chargeable, shall be fully and truly set forth therein. "
what is the significance of the chargeability clause?,"facts and circumstances affecting the chargeability of any instrument with duty, or the amount of the duty with which it its chargeable, shall be fully and truly set forth therein. "
what is the duty amount for an instrument?,"facts and circumstances affecting the chargeability of any instrument with duty, or the amount of the duty with which it its chargeable, shall be fully and truly set forth therein. "
what is the market value of the property?,"consideration (if any)”, the words “the market value of the property” shall be substituted.” "
what is the new section of the principal act?,".—In the principal Act, after section 27, the following new section shall be "
what is the collector's role in resolving disputes?,"(2) On receipt of a reference under sub-section (1), the Collector shall, after giving the parties a "
what is the purpose of the act?,"reasonable opportunity of being heard and after holding an enquiry in such manner as may be prescribed by rules made under this Act, determine the market value of the property which is the subject matter of conveyance, exchange or gift and the duty as aforesaid, and thereupon the difference, if any, in the amount of duty, shall be payable by the persons liable to pay the duty. "
what is the difference between the duty and the market value?,"reasonable opportunity of being heard and after holding an enquiry in such manner as may be prescribed by rules made under this Act, determine the market value of the property which is the subject matter of conveyance, exchange or gift and the duty as aforesaid, and thereupon the difference, if any, in the amount of duty, shall be payable by the persons liable to pay the duty. "
what is the process for determining the market value of property?,"reasonable opportunity of being heard and after holding an enquiry in such manner as may be prescribed by rules made under this Act, determine the market value of the property which is the subject matter of conveyance, exchange or gift and the duty as aforesaid, and thereupon the difference, if any, in the amount of duty, shall be payable by the persons liable to pay the duty. "
what was the purpose of the amendments made by the act 15 of 1904?,"1. Subs. by Act 15 of 1904, s. 4, for the proviso. 2. Subs. by the A.O. 1937, for “the secretary of State in Council”. 3. Subs., ibid., for “the said Secretary of State in Council”."
what was the purpose of the amendments made by the a.o. 1937?,"1. Subs. by Act 15 of 1904, s. 4, for the proviso. 2. Subs. by the A.O. 1937, for “the secretary of State in Council”. 3. Subs., ibid., for “the said Secretary of State in Council”."
who was the secretary of state in council?,"1. Subs. by Act 15 of 1904, s. 4, for the proviso. 2. Subs. by the A.O. 1937, for “the secretary of State in Council”. 3. Subs., ibid., for “the said Secretary of State in Council”."
what can the collector do within two years from the date of the notice?,"(3) The Collector may, on his own motion or otherwise, within two years from the date of "
what is the purpose of the registration process?,"registration of any instrument or conveyance, exchange or gift not already referred to him under sub-section (1) call for and examine the instrument for the purpose of satisfying himself as to the correctness of the market value of the property as set forth in such instrument, which is the subject matter of conveyance, exchange or gift and the duty payable thereon and if after such examination he has reason to believe that the market value of such property has not been truly set forth in the instrument, he may determine the market value of such property and the duty as aforesaid and thereupon the difference, if any in the amount of duty, shall be payable by the person liable to pay the duty: "
what is the duty payable on the property?,"registration of any instrument or conveyance, exchange or gift not already referred to him under sub-section (1) call for and examine the instrument for the purpose of satisfying himself as to the correctness of the market value of the property as set forth in such instrument, which is the subject matter of conveyance, exchange or gift and the duty payable thereon and if after such examination he has reason to believe that the market value of such property has not been truly set forth in the instrument, he may determine the market value of such property and the duty as aforesaid and thereupon the difference, if any in the amount of duty, shall be payable by the person liable to pay the duty: "
what is the market value of the property?,"registration of any instrument or conveyance, exchange or gift not already referred to him under sub-section (1) call for and examine the instrument for the purpose of satisfying himself as to the correctness of the market value of the property as set forth in such instrument, which is the subject matter of conveyance, exchange or gift and the duty payable thereon and if after such examination he has reason to believe that the market value of such property has not been truly set forth in the instrument, he may determine the market value of such property and the duty as aforesaid and thereupon the difference, if any in the amount of duty, shall be payable by the person liable to pay the duty: "
what is the difference between the registration and the filing of the instrument?,"registration of any instrument or conveyance, exchange or gift not already referred to him under sub-section (1) call for and examine the instrument for the purpose of satisfying himself as to the correctness of the market value of the property as set forth in such instrument, which is the subject matter of conveyance, exchange or gift and the duty payable thereon and if after such examination he has reason to believe that the market value of such property has not been truly set forth in the instrument, he may determine the market value of such property and the duty as aforesaid and thereupon the difference, if any in the amount of duty, shall be payable by the person liable to pay the duty: "
what is the difference between the market value and the duty?,"registration of any instrument or conveyance, exchange or gift not already referred to him under sub-section (1) call for and examine the instrument for the purpose of satisfying himself as to the correctness of the market value of the property as set forth in such instrument, which is the subject matter of conveyance, exchange or gift and the duty payable thereon and if after such examination he has reason to believe that the market value of such property has not been truly set forth in the instrument, he may determine the market value of such property and the duty as aforesaid and thereupon the difference, if any in the amount of duty, shall be payable by the person liable to pay the duty: "
what does the provision mean for instruments registered before the date of the amendment?,Provided that nothing in this sub-section shall apply to instrument registered before the date of 
what is the process for a person to challenge an order of the collector?,(4) Any person aggrieved by an order of the Collector under sub-section (2) or sub-section (3) 
what is the time frame for filing an appeal?,may prefer an appeal to the Civil Judge of appropriate jurisdiction and all such appeals shall be preferred within such time and shall be heard and disposed of in such manner as may be prescribed. 
how is the appeal heard and disposed of?,may prefer an appeal to the Civil Judge of appropriate jurisdiction and all such appeals shall be preferred within such time and shall be heard and disposed of in such manner as may be prescribed. 
what is the process for appealing a case to the civil judge?,may prefer an appeal to the Civil Judge of appropriate jurisdiction and all such appeals shall be preferred within such time and shall be heard and disposed of in such manner as may be prescribed. 
what is the market value of a property?,"—For the purpose of this Act, market value of any property shall be estimated to be "
what is the value of the property according to the collector's opinion?,"the price which in the opinion of the Collector or the Civil Judge Senior Division, as the case may be, such property would have fetched or would fetch, if sold in the open market on the date of execution of the instrument of conveyance, exchange or gift. "
what is the value of the property according to the civil judge senior division's opinion?,"the price which in the opinion of the Collector or the Civil Judge Senior Division, as the case may be, such property would have fetched or would fetch, if sold in the open market on the date of execution of the instrument of conveyance, exchange or gift. "
what is the consideration (if any)?,—For the words and brackets “The consideration (if any)” occurring in 
"what is the consideration, if any, for purchasing the property?","“the consideration if any”, the words and commas “the consideration, if any, the market value of the property” shall be substituted. "
what is the market value of the property?,"“the consideration if any”, the words and commas “the consideration, if any, the market value of the property” shall be substituted. "
how is the consideration apportioned?,"contracted to be sold for one consideration for the whole, and is conveyed to the purchaser in separate parts by different instruments, the consideration shall be apportioned in such manner as the parties think fit, provided that a distinct consideration for each separate part is set forth in the conveyance relating thereto, and such conveyance shall be chargeable with ad valorem duty in respect of such distinct consideration. "
what is the tax rate on the sale of the property?,"contracted to be sold for one consideration for the whole, and is conveyed to the purchaser in separate parts by different instruments, the consideration shall be apportioned in such manner as the parties think fit, provided that a distinct consideration for each separate part is set forth in the conveyance relating thereto, and such conveyance shall be chargeable with ad valorem duty in respect of such distinct consideration. "
what is the purpose of the conveyance?,"contracted to be sold for one consideration for the whole, and is conveyed to the purchaser in separate parts by different instruments, the consideration shall be apportioned in such manner as the parties think fit, provided that a distinct consideration for each separate part is set forth in the conveyance relating thereto, and such conveyance shall be chargeable with ad valorem duty in respect of such distinct consideration. "
what is the tax liability for the sale of the property?,"contracted to be sold for one consideration for the whole, and is conveyed to the purchaser in separate parts by different instruments, the consideration shall be apportioned in such manner as the parties think fit, provided that a distinct consideration for each separate part is set forth in the conveyance relating thereto, and such conveyance shall be chargeable with ad valorem duty in respect of such distinct consideration. "
what is the consideration for the sale of the property?,"contracted to be sold for one consideration for the whole, and is conveyed to the purchaser in separate parts by different instruments, the consideration shall be apportioned in such manner as the parties think fit, provided that a distinct consideration for each separate part is set forth in the conveyance relating thereto, and such conveyance shall be chargeable with ad valorem duty in respect of such distinct consideration. "
what is the difference between a contract and a lease?,"(2) Where property contracted to be purchased for one consideration for the whole, by two or more "
can a person convey property in parts?,"persons jointly, or by any person for himself and others, or wholly for others, is conveyed in parts by separate instruments to the persons by or for whom the same was purchased, for distinct parts of the consideration, the conveyance of each separate part shall be chargeable with ad valorem duty in respect of the distinct part of the consideration therein specified. "
what is the difference between joint and sole ownership?,"persons jointly, or by any person for himself and others, or wholly for others, is conveyed in parts by separate instruments to the persons by or for whom the same was purchased, for distinct parts of the consideration, the conveyance of each separate part shall be chargeable with ad valorem duty in respect of the distinct part of the consideration therein specified. "
what is the difference between ad valorem duty and ad valorem tax?,"persons jointly, or by any person for himself and others, or wholly for others, is conveyed in parts by separate instruments to the persons by or for whom the same was purchased, for distinct parts of the consideration, the conveyance of each separate part shall be chargeable with ad valorem duty in respect of the distinct part of the consideration therein specified. "
what is the difference between a contract and a purchase agreement?,"(3) Where a person, having contracted for the purchase of any property but not having obtained a "
what is the effect of conveyance upon the ownership of property?,"conveyance thereof, contracts to sell the same to any other person and the property is in consequence  "
what is the consideration for the sale by the original purchaser to the sub-purchaser?,respect of the consideration for the sale by the original purchaser to the sub-purchaser. 
what is the difference between a contract and a purchase?,"(4) Where a person, having contracted for the purchase of any property but not having obtained a "
what is the difference between ad valorem duty and ad valorem tax?,"conveyance thereof, contracts to sell the whole, or any part thereof, to any other person or persons and the property is in consequence conveyed by the original seller to different persons in parts, the conveyance of each part sold to a sub-purchaser shall be chargeable with ad valorem duty in respect only of the consideration paid by such sub-purchaser, without regard to the amount or value of the original consideration; and the conveyance of the residue (if any) of such property to the original purchaser shall be chargeable with ad valorem duty in respect only of the excess of the original consideration over the aggregate of the considerations paid by the sub-purchasers: "
what is the duty on such last-mentioned conveyance?,Provided that the duty on such last-mentioned conveyance shall in no case be less than one rupee. 
what is the difference between a sub-purchaser and a buyer in a real estate transaction?,(5) Where a sub-purchaser takes an actual conveyance of the interest of the person immediately 
what is the duty on the transfer of property?,"selling to him, which is chargeable with ad valorem duty in respect of the consideration paid by him and is duly stamped accordingly, any conveyance to be afterwards made to him of the same property by the original seller shall be chargeable with a duty equal to that which would be chargeable on a conveyance for the consideration obtained by such original seller, or, where such duty would exceed five rupees, with a duty of five rupees. "
what is the duty on the sale of property?,"selling to him, which is chargeable with ad valorem duty in respect of the consideration paid by him and is duly stamped accordingly, any conveyance to be afterwards made to him of the same property by the original seller shall be chargeable with a duty equal to that which would be chargeable on a conveyance for the consideration obtained by such original seller, or, where such duty would exceed five rupees, with a duty of five rupees. "
what is the replacement for sub-section (1) in section 28 of the principal act?,".— In Section 28 of the principal Act,—              (i) for sub-section (1), the following sub-section shall be substituted, namely:— "
what is the purpose of the clause in the contract?,"“(1) where any property has been contracted to be sold for one consideration for the  whole, and is "
how is the consideration apportioned in the conveyance of property?,"conveyed to the purchaser in separate parts by different instruments, the consideration shall be apportioned in such manner as the parties think fit: "
what is the process for dividing the consideration in a conveyance of property?,"conveyed to the purchaser in separate parts by different instruments, the consideration shall be apportioned in such manner as the parties think fit: "
what is the requirement for a distinct consideration for each separate part in a conveyance?,Provided that a distinct consideration for each separate part is set forth in the conveyance relating 
what is the purpose of the clause in the law?,thereto and such conveyance shall be chargeable with ad valorem duty in respect of such distinct consideration: 
what is the market value of the separate part?,Provided further that the market value of the separate part shall be set forth along with the 
what is the consideration for each part and the conveyance chargeable with ad valorem?,consideration for each part and the conveyance shall be chargeable with ad valorem. 
what is the duty on the market value of a separate part?,"[duty in respect of such distinct consideration or the market value, whichever is higher.”.     (ii) to sub-section (2) the following words and comma shall be added at the end, namely:— “or the market value of each such separate part whichever is higher.”; (iii) to sub-section (3) the following words and comma shall be added at the end, namely:—    “or the market value of the property, whichever is higher.”. (iv) for sub-section (4), the following sub-section shall be substituted, namely:- “(4) where  a person, having contracted for the purchase of any property but not having obtained a "
what is the duty on the market value of a property?,"[duty in respect of such distinct consideration or the market value, whichever is higher.”.     (ii) to sub-section (2) the following words and comma shall be added at the end, namely:— “or the market value of each such separate part whichever is higher.”; (iii) to sub-section (3) the following words and comma shall be added at the end, namely:—    “or the market value of the property, whichever is higher.”. (iv) for sub-section (4), the following sub-section shall be substituted, namely:- “(4) where  a person, having contracted for the purchase of any property but not having obtained a "
what is the duty on selling property to someone?,"selling to him, which is chargeable with ad valorem  duty in respect of consideration paid by him or the market value of the property whichever is higher and is duly stamped accordingly, any conveyance  to be "
what is the process for registering a conveyance of property?,"selling to him, which is chargeable with ad valorem  duty in respect of consideration paid by him or the market value of the property whichever is higher and is duly stamped accordingly, any conveyance  to be "
what is the maximum amount of duty that can be charged on a conveyance?,"equal to that which would be chargeable on a conveyance  for the  consideration obtained by  such original seller or the market value of such  property  whichever is higher, or, where such duty would exceed five rupees with a duty of five rupees”,] "
what is the potential cost of the project without an agreement to the contrary?,"In the absence of an agreement to the contrary, the expense of "
what is the purpose of the instrument?,"(a) in the case of any instrument described in any of the following Articles of Schedule I, namely:— "
what is the difference between a bond and a bill of exchange?,"1[No. 6 (Agreement relating to Deposit of Title-deeds, Pawn or Pledge),] No. 13 (Bill of exchange), No. 15 (Bond), No. 16 (Bottomry Bond), No. 26 (Customs Bond), "
"what is the purpose of the agreement relating to deposit of title-deeds, pawn or pledge?","1[No. 6 (Agreement relating to Deposit of Title-deeds, Pawn or Pledge),] No. 13 (Bill of exchange), No. 15 (Bond), No. 16 (Bottomry Bond), No. 26 (Customs Bond), "
what is the difference between a security-bond and a mortgage-deed?,"No. 32 (Further charge), No. 34 (Indemnity-Bond), No. 40 (Mortgage-deed), No. 49 (Promissory-note), No. 55 (Release), No. 56 (Respondentia Bond), No. 57 (Security-bond or Mortgage-deed), No. 58 (Settlement), "
